id,age,job,marital,education,preferred_contact,balance,loan_house,loan_personal,n_marketing_contacts,marketing_potential,call_length,investment,period
1,31,entrepreneur,single,tertiary,cellular,38,no,no,0,unknown,185,0,0
2,29,management,married,tertiary,cellular,1022,yes,no,0,unknown,408,0,0
3,49,blue-collar,divorced,secondary,cellular,10613,no,yes,0,unknown,1226,1264.69,0
4,23,management,single,tertiary,cellular,736,yes,no,0,unknown,119,0,0
5,42,technician,married,secondary,NA,-158,yes,no,0,unknown,124,0,0
6,48,services,married,primary,cellular,483,no,no,0,unknown,119,0,0
7,42,technician,married,secondary,cellular,2152,no,no,4,low,113,0,0
8,59,blue-collar,married,secondary,NA,0,yes,no,0,unknown,217,0,0
9,31,services,single,secondary,NA,-341,no,no,0,unknown,171,0,0
10,32,self-employed,married,tertiary,cellular,322,yes,no,1,low,192,0,0
11,39,management,married,secondary,cellular,0,no,no,0,unknown,224,0,0
12,32,technician,married,secondary,cellular,150,no,yes,0,unknown,231,0,0
13,53,self-employed,married,tertiary,NA,451,yes,no,0,unknown,56,0,0
14,34,technician,single,secondary,NA,-89,yes,no,0,unknown,209,0,0
15,37,services,single,secondary,cellular,174,yes,no,2,low,134,0,0
16,49,technician,married,secondary,cellular,-147,yes,no,0,unknown,390,0,0
17,32,blue-collar,married,secondary,NA,715,yes,no,0,unknown,108,0,0
18,46,blue-collar,married,secondary,NA,1660,yes,no,0,unknown,259,0,0
19,30,management,single,tertiary,cellular,62,yes,no,0,unknown,90,0,0
20,57,technician,married,secondary,cellular,950,yes,no,0,unknown,1272,0,0
21,30,management,single,tertiary,cellular,2900,no,no,0,unknown,147,0,0
22,37,blue-collar,single,primary,cellular,315,no,no,0,unknown,352,0,0
23,56,management,married,secondary,NA,3164,no,no,0,unknown,245,0,0
24,47,blue-collar,married,secondary,NA,7985,yes,no,0,unknown,347,0,0
25,58,services,married,secondary,telephone,553,no,yes,0,unknown,109,0,0
26,25,services,married,secondary,cellular,51,yes,yes,2,low,159,0,0
27,34,blue-collar,married,primary,cellular,329,yes,no,1,low,952,292.8,0
28,33,management,single,tertiary,cellular,0,no,no,0,unknown,13,0,0
29,24,blue-collar,single,secondary,cellular,3,yes,no,0,unknown,311,0,0
30,52,management,married,tertiary,cellular,698,yes,no,0,unknown,213,0,0
31,36,blue-collar,married,primary,cellular,106,yes,no,0,unknown,31,0,0
32,55,management,divorced,tertiary,cellular,608,yes,no,0,unknown,161,0,0
33,27,technician,single,secondary,cellular,-211,yes,no,3,low,146,0,0
34,26,services,divorced,primary,cellular,2,yes,yes,0,unknown,22,0,0
35,37,technician,single,secondary,cellular,181,no,no,0,unknown,140,0,0
36,39,technician,divorced,tertiary,cellular,113,yes,yes,0,unknown,1012,0,0
37,35,self-employed,married,secondary,NA,273,no,no,0,unknown,28,0,0
38,59,retired,married,secondary,telephone,6888,no,no,0,unknown,1025,442.06,0
39,44,blue-collar,married,secondary,telephone,1324,yes,no,2,unknown,119,0,0
40,50,blue-collar,married,NA,cellular,1389,yes,no,3,low,300,0,0
41,55,blue-collar,married,secondary,cellular,388,no,no,0,unknown,187,0,0
