id,age,job,marital,education,preferred_contact,balance,loan_house,loan_personal,n_marketing_contacts,marketing_potential,period,proba_invest,rank,contact_target,subgroup_utilization_ratio,expected_gross_proxy,expected_net_profit,profitable_contact,rank_expected_net_profit,target_top1200_net_profit,target_positive_net_profit
17788,56,blue-collar,married,secondary,telephone,60053.17,no,no,0,unknown,2,0.5437223349066449,138,1,0.23639526962078947,7718.837397783876,342.34768290027444,1,1,1,1
19246,33,management,married,tertiary,cellular,23327.18,yes,no,5,high,2,0.6882455748281098,18,1,0.4114411218111167,6605.616610762521,292.25274748431343,1,2,1,1
19671,31,management,single,tertiary,cellular,39017.86,no,no,0,unknown,2,0.47170425107341585,193,0,0.31661972229826035,5827.351296809193,257.23080835641366,1,3,1,1
19208,55,management,married,tertiary,cellular,39860.21,no,no,0,unknown,2,0.42318088075467913,223,0,0.33472575145881395,5646.180343583648,249.07811546126416,1,4,1,1
15845,27,management,single,tertiary,cellular,21006.4,no,no,1,high,2,0.7865647110198777,2,1,0.33175041437669023,5481.476581393862,241.6664461627238,1,5,1,1
22966,43,admin.,single,secondary,,58054.45,no,no,0,unknown,2,0.35054139959269554,247,0,0.24743492778381734,5035.421567142397,221.59397052140787,1,6,1,1
19426,55,entrepreneur,married,tertiary,cellular,42708.67,no,no,0,unknown,2,0.37737628077115476,238,0,0.29719947784204725,4790.035027324645,210.55157622960903,1,7,1,1
22259,61,retired,married,tertiary,cellular,33357.0,no,no,2,unknown,2,0.4407360001998122,213,0,0.29719947784204725,4369.316984901859,191.61926432058362,1,8,1,1
19407,48,management,married,secondary,cellular,37474.17,no,no,0,unknown,2,0.32876068225063526,255,0,0.3311518645633426,4079.802129905757,178.59109584575904,1,9,1,1
16203,34,management,single,tertiary,cellular,27091.98,no,no,1,low,2,0.4163861540101317,225,0,0.31661972229826035,3571.700129767443,155.72650583953492,1,10,1,1
18186,36,technician,married,secondary,cellular,15823.54,no,no,0,high,2,0.6332040123594135,58,1,0.3261061274137145,3267.4298064811624,142.0343412916523,1,11,1,1
20769,43,management,single,tertiary,cellular,12222.43,no,no,0,high,2,0.7148592129224663,11,1,0.33175041437669023,2898.6084323815016,125.43737945716757,1,12,1,1
17605,50,unemployed,married,secondary,cellular,36925.21,no,no,2,unknown,2,0.28244551651351146,280,0,0.27715574642500507,2890.557058533882,125.07506763402469,1,13,1,1
17868,36,technician,single,secondary,cellular,12453.15,no,no,4,high,2,0.6909211788357712,17,1,0.3261061274137145,2805.8644311636663,121.26389940236498,1,14,1,1
15448,55,management,divorced,tertiary,cellular,26832.92,yes,no,4,low,2,0.3033233274127063,268,0,0.3383248848997814,2753.6433501979905,118.91395075890956,1,15,1,1
15835,61,self-employed,married,tertiary,cellular,11053.98,no,no,5,high,2,0.6478573491873043,43,1,0.3323750257148735,2380.271233987806,102.11220552945127,1,16,1,1
16867,58,management,divorced,tertiary,cellular,26733.8,yes,no,0,low,2,0.26274774833793546,295,0,0.3383248848997814,2376.4771364046405,101.94147113820883,1,17,1,1
20250,27,technician,single,tertiary,cellular,12047.69,no,no,6,high,2,0.7742634995221654,3,1,0.24212213297498703,2258.536229144989,96.63413031152452,1,18,1,1
22540,38,management,single,tertiary,telephone,22324.86,no,no,0,unknown,2,0.31647048174017456,260,0,0.30755414533304487,2172.918999084795,92.78135495881577,1,19,1,1
16049,55,technician,married,secondary,cellular,10424.17,no,no,4,high,2,0.6259593512001694,65,1,0.3261061274137145,2127.877273637309,90.7544773136789,1,20,1,1
21339,43,management,married,tertiary,cellular,21996.65,no,no,0,unknown,2,0.2847698533586212,279,0,0.33472575145881395,2096.716348141596,89.35223566637181,1,21,1,1
23066,34,technician,single,secondary,cellular,28081.69,yes,no,2,unknown,2,0.2099185493776152,456,0,0.3519165155311745,2074.5012754701097,88.35255739615494,1,22,1,1
17278,44,technician,single,,cellular,11318.67,no,no,3,high,2,0.767745698397431,4,1,0.22820402720362715,1983.0610944076009,84.23774924834204,1,23,1,1
19272,43,management,divorced,,cellular,7847.2,no,no,3,high,2,0.7438908447650348,7,1,0.33695111064433125,1966.9387102128098,83.51224195957644,1,24,1,1
20137,33,management,married,tertiary,cellular,23352.26,yes,no,2,low,2,0.23214646502299946,349,0,0.3383248848997814,1834.1081259658126,77.53486566846156,1,25,1,1
18138,65,retired,married,secondary,cellular,23870.42,no,no,0,unknown,2,0.2674684689503671,287,0,0.27715574642500507,1769.5243355375187,74.62859509918835,1,26,1,1
21050,32,admin.,single,tertiary,cellular,9017.3,no,no,2,high,2,0.7549262308667922,6,1,0.24212213297498703,1648.2213125482497,69.16995906467123,1,27,1,1
16436,35,technician,married,secondary,cellular,24288.03,no,no,0,unknown,2,0.23998542123340333,331,0,0.27715574642500507,1615.4779621769544,67.69650829796295,1,28,1,1
20419,31,self-employed,single,tertiary,cellular,18224.04,yes,no,3,low,2,0.19279462525351487,613,0,0.4357353119321623,1530.954694886276,63.89296126988242,1,29,1,1
19103,31,admin.,married,secondary,cellular,8987.64,yes,no,1,high,2,0.49256327229237173,178,0,0.3390830782004048,1501.1144695959179,62.55015113181631,1,30,1,1
20836,52,management,married,tertiary,cellular,24102.26,yes,no,0,unknown,2,0.18973082075027703,658,0,0.32298264008632677,1476.9807417999946,61.464133380999755,1,31,1,1
17719,35,technician,married,tertiary,cellular,8161.7,yes,no,2,high,2,0.5284854107628921,151,1,0.33793096277812434,1457.6109284663453,60.59249178098554,1,32,1,1
21231,45,management,married,tertiary,,38245.81,yes,no,0,unknown,2,0.1224347147081113,2242,0,0.31083035173548323,1455.498816556276,60.49744674503242,1,33,1,1
22583,42,admin.,married,secondary,cellular,16852.06,no,no,4,low,2,0.29283156597587273,272,0,0.2853956595556212,1408.3748158773603,58.37686671448121,1,34,1,1
16959,44,self-employed,single,tertiary,cellular,18933.58,yes,no,3,unknown,2,0.1703710897769728,978,0,0.4357353119321623,1405.5664974050828,58.250492383228725,1,35,1,1
22366,30,management,single,tertiary,cellular,20721.08,yes,no,0,unknown,2,0.20612825959249034,485,0,0.32370218703764736,1382.5968321860305,57.21685744837137,1,36,1,1
19600,38,technician,married,secondary,cellular,6889.81,no,no,4,high,2,0.6031380130671412,86,1,0.3261061274137145,1355.136071439858,55.981123214793605,1,37,1,1
22438,32,management,single,tertiary,cellular,12889.93,no,no,3,low,2,0.322923014523722,258,0,0.31661972229826035,1317.915362833127,54.30619132749071,1,38,1,1
21189,69,retired,married,secondary,telephone,21929.61,no,no,1,unknown,2,0.2516368800340794,311,0,0.23639526962078947,1304.499695031477,53.70248627641646,1,39,1,1
22107,34,blue-collar,single,secondary,cellular,20208.45,yes,no,1,unknown,2,0.18283353960980028,780,0,0.3519165155311745,1300.2549631720156,53.5114733427407,1,40,1,1
16489,41,technician,single,tertiary,cellular,15609.68,no,no,1,unknown,2,0.28817749847721336,276,0,0.2829305419136747,1272.7230178682235,52.27253580407005,1,41,1,1
19765,56,management,married,,cellular,4668.23,no,no,0,high,2,0.646924166483983,44,1,0.4213173452846381,1272.3745073585972,52.25685283113687,1,42,1,1
16900,41,management,married,tertiary,cellular,15662.95,no,no,0,unknown,2,0.24206074439653041,325,0,0.33472575145881395,1269.0743058116939,52.10834376152622,1,43,1,1
21084,31,management,single,tertiary,cellular,12772.87,no,no,2,low,2,0.3120083330701669,263,0,0.31661972229826035,1261.8061764574093,51.781277940583415,1,44,1,1
20779,40,unemployed,single,tertiary,cellular,8114.82,no,no,2,high,2,0.6417941401715764,49,1,0.24212213297498703,1260.9827036387692,51.74422166374461,1,45,1,1
