id,age,job,marital,education,preferred_contact,balance,loan_house,loan_personal,n_marketing_contacts,marketing_potential,period,proba_invest,rank,target
21971,28,technician,single,tertiary,cellular,5104.6,no,no,20,high,2,0.8397445682134232,1,1
15845,27,management,single,tertiary,cellular,21006.4,no,no,1,high,2,0.7865647110198393,2,1
20250,27,technician,single,tertiary,cellular,12047.69,no,no,6,high,2,0.7742634995221271,3,1
17278,44,technician,single,,cellular,11318.67,no,no,3,high,2,0.767745698397399,4,1
17728,36,management,single,tertiary,cellular,2692.21,no,no,12,high,2,0.7629733806912143,5,1
21050,32,admin.,single,tertiary,cellular,9017.3,no,no,2,high,2,0.754926230866757,6,1
19272,43,management,divorced,,cellular,7847.2,no,no,3,high,2,0.7438908447650044,7,1
22954,93,retired,married,,cellular,788.08,no,no,9,high,2,0.7413830176742082,8,1
20148,31,management,single,tertiary,cellular,519.61,no,no,10,high,2,0.732006409949327,9,1
22470,50,technician,divorced,,cellular,2842.51,no,no,4,high,2,0.7172397710811799,10,1
20769,43,management,single,tertiary,cellular,12222.43,no,no,0,high,2,0.7148592129224247,11,1
22692,30,management,single,tertiary,cellular,513.83,no,no,7,high,2,0.7031925871598274,12,1
19030,29,management,single,,cellular,603.94,no,no,3,high,2,0.6978100956813437,13,1
19664,32,management,single,tertiary,cellular,909.59,no,no,6,high,2,0.6953512550412961,14,1
15682,63,retired,divorced,tertiary,cellular,-36.55,no,no,3,high,2,0.6918008153189827,15,1
19931,36,management,single,tertiary,cellular,519.69,no,no,6,high,2,0.6909917179121479,16,1
17868,36,technician,single,secondary,cellular,12453.15,no,no,4,high,2,0.6909211788357252,17,1
19246,33,management,married,tertiary,cellular,23327.18,yes,no,5,high,2,0.6882455748280566,18,1
19855,34,admin.,married,tertiary,cellular,825.33,no,no,5,high,2,0.6878398894126675,19,1
17064,27,blue-collar,single,tertiary,cellular,554.43,no,no,2,high,2,0.687616162331008,20,1
19904,61,retired,married,tertiary,cellular,5341.73,no,no,2,high,2,0.6837959564836339,21,1
17994,92,retired,married,,cellular,853.74,no,no,3,high,2,0.6834475988484683,22,1
20955,52,management,married,tertiary,cellular,2670.79,no,no,8,high,2,0.6821914488787005,23,1
17673,76,retired,married,tertiary,cellular,3099.28,no,no,4,high,2,0.6819313841135615,24,1
17144,32,management,single,tertiary,cellular,417.41,no,no,5,high,2,0.6813417171046622,25,1
16327,36,management,single,,cellular,69.64,no,no,2,high,2,0.6809918340707922,26,1
17022,29,self-employed,single,tertiary,cellular,846.79,no,no,10,high,2,0.6743894182521747,27,1
21008,47,admin.,single,secondary,cellular,3797.36,no,no,5,high,2,0.6742877582155928,28,1
16177,47,management,single,tertiary,cellular,26.42,no,no,5,high,2,0.6728127371864875,29,1
16615,32,management,single,tertiary,cellular,3279.42,no,no,2,high,2,0.6720214177372429,30,1
21823,29,student,single,tertiary,cellular,3233.04,no,no,8,high,2,0.6718592384708214,31,1
18048,68,retired,married,tertiary,cellular,2767.93,no,no,3,high,2,0.6718289069017612,32,1
21963,38,management,single,tertiary,cellular,3212.84,no,no,2,high,2,0.6692759539488073,33,1
20558,35,technician,single,tertiary,cellular,664.85,no,no,3,high,2,0.6621865326714975,34,1
20800,29,management,single,tertiary,cellular,1857.38,no,no,2,high,2,0.6619780189917133,35,1
21614,26,management,single,tertiary,cellular,2923.63,no,no,1,high,2,0.6608144844549464,36,1
22576,31,management,single,tertiary,cellular,187.99,no,no,3,high,2,0.658738978783972,37,1
18521,41,technician,single,tertiary,cellular,446.77,no,no,3,high,2,0.6581968847867258,38,1
16769,31,management,single,tertiary,cellular,80.16,no,no,3,high,2,0.6578817391024651,39,1
