id,age,job,marital,education,preferred_contact,balance,loan_house,loan_personal,n_marketing_contacts,marketing_potential,period,proba_invest,rank,target,segment_expected_rate,expected_value_person,expected_value_gt_5
21971,28,technician,single,tertiary,cellular,5104.6,no,no,20,high,2,0.8397445682134583,1,1,0.18015634565252306,772.25100716193,1
15845,27,management,single,tertiary,cellular,21006.4,no,no,1,high,2,0.7865647110198777,2,1,0.2807118890879686,4638.172491948652,1
20250,27,technician,single,tertiary,cellular,12047.69,no,no,6,high,2,0.7742634995221654,3,1,0.18015634565252306,1680.5139974899582,1
17278,44,technician,single,,cellular,11318.67,no,no,3,high,2,0.767745698397431,4,1,0.17180729385298654,1492.9813656237548,1
17728,36,management,single,tertiary,cellular,2692.21,no,no,12,high,2,0.7629733806912552,5,1,0.2807118890879686,576.6059586523777,1
21050,32,admin.,single,tertiary,cellular,9017.3,no,no,2,high,2,0.7549262308667922,6,1,0.21272985910724368,1448.1364561255025,1
19272,43,management,divorced,,cellular,7847.2,no,no,3,high,2,0.7438908447650348,7,1,0.25476791292620166,1487.1975613804173,1
22954,93,retired,married,,cellular,788.08,no,no,9,high,2,0.7413830176742459,8,1,0.21061282428803185,123.05457131216527,1
20148,31,management,single,tertiary,cellular,519.61,no,no,10,high,2,0.7320064099493677,9,1,0.2807118890879686,106.77097079207934,1
22470,50,technician,divorced,,cellular,2842.51,no,no,4,high,2,0.7172397710812095,10,1,0.17180729385298654,350.2740483120069,1
20769,43,management,single,tertiary,cellular,12222.43,no,no,0,high,2,0.7148592129224663,11,1,0.2807118890879686,2452.668673553578,1
22692,30,management,single,tertiary,cellular,513.83,no,no,7,high,2,0.7031925871598679,12,1,0.2807118890879686,101.42722597231068,1
19030,29,management,single,,cellular,603.94,no,no,3,high,2,0.6978100956813739,13,1,0.2807118890879686,118.30193545534726,1
19664,32,management,single,tertiary,cellular,909.59,no,no,6,high,2,0.6953512550413368,14,1,0.2807118890879686,177.54593230853584,1
15682,63,retired,divorced,tertiary,cellular,-36.55,no,no,3,high,2,0.6918008153190177,15,1,0.18015634565252306,-4.555310813807188,0
19931,36,management,single,tertiary,cellular,519.69,no,no,6,high,2,0.6909917179121889,16,1,0.2807118890879686,100.8040564761725,1
17868,36,technician,single,secondary,cellular,12453.15,no,no,4,high,2,0.6909211788357712,17,1,0.20381632963357155,1753.6652694772913,1
19246,33,management,married,tertiary,cellular,23327.18,yes,no,5,high,2,0.6882455748281098,18,1,0.2553772480206931,4100.037896335358,1
19855,34,admin.,married,tertiary,cellular,825.33,no,no,5,high,2,0.6878398894127076,19,1,0.23616120248162062,134.06750926526874,1
17064,27,blue-collar,single,tertiary,cellular,554.43,no,no,2,high,2,0.6876161623310453,20,1,0.18015634565252306,68.68190963797133,1
19904,61,retired,married,tertiary,cellular,5341.73,no,no,2,high,2,0.6837959564836764,21,1,0.23616120248162062,862.6150132005913,1
17994,92,retired,married,,cellular,853.74,no,no,3,high,2,0.6834475988485047,22,1,0.21061282428803185,122.88975087003718,1
20955,52,management,married,tertiary,cellular,2670.79,no,no,8,high,2,0.6821914488787488,23,1,0.2864957947935539,521.992501734113,1
